@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L144268","1","0","5","2","0","2","5350","false"
"L144269","1","0","12","3","0","3","2319","false"
"L144270","2","0","22","4","0","3","815","false"
"L144271","51","0","449","30","0","10","2319","false"
"L144501","9","0","93","8","0","3","665","false"
"L144502","5","0","102","21","0","11","665","false"
"L144503","2","0","29","22","0","10","815","false"
"L144504","1","0","46","11","0","6","665","false"
"L144505","3","0","16","5","0","5","665","false"
"L144506","1","0","20","13","0","6","412","false"
"L144507","1","0","19","16","0","8","5350","false"
"L144508","11","0","240","58","1","16","505","false"
"L144509","6","0","94","18","0","8","665","false"
"L144510","1","0","8","21","0","9","665","false"
"L144511","1","0","15","3","0","3","310","false"
"L144512","1","0","18","4","0","3","412","false"
"L144513","7","0","46","5","0","4","665","false"
"L144514","2","0","25","5","0","5","665","false"
"L144515","1","0","5","4","0","4","665","false"
"L144516","1","0","28","6","0","5","310","false"
"L144517","1","0","50","3","0","3","310","false"
"L144518","1","0","9","4","0","4","665","false"
"L144918","1","0","17","10","0","4","665","false"
"L144919","2","0","34","4","0","3","665","false"
"L144920","1","0","6","6","0","5","2319","false"
"L144921","23","0","238","16","0","7","2319","false"
"L34487","1","0","39","5","0","2","5350","false"
"L34488","1","0","21","12","0","4","665","false"
"L34489","1","0","8","19","0","5","815","false"
"L34490","8","0","78","16","0","3","5350","false"
"L34491","2","0","26","12","0","2","5350","false"
"L34492","3","0","32","41","0","8","5350","false"
"L34493","1","0","115","36","0","7","5350","false"
"L34494","3","0","49","3","0","3","62","false"
"L34495","12","0","155","59","0","11","62","false"
"L34496","2","0","19","10","0","2","5350","false"
"L34497","1","0","55","10","0","2","5350","false"
"L34498","2","0","36","12","0","2","5350","false"
"L34499","1","0","8","5","0","2","5350","false"
"L34500","1","0","36","4","0","3","59","false"
"L34501","2","0","18","6","0","1","5350","false"
"L34502","4","0","36","2","0","2","199","false"
"L34503","4","0","41","3","0","2","665","false"
"L34504","2","0","37","3","0","2","67","false"
"L34505","5","0","47","8","0","6","59","false"
"L34506","1","0","18","15","0","3","5350","false"
"L34507","4","0","64","52","0","6","665","false"
"L34508","5","0","54","9","0","3","5350","false"
"L34509","1","0","21","20","0","3","665","false"
"L34510","2","0","41","14","0","5","62","false"
"L34511","8","0","170","154","0","15","2319","false"
"L34512","1","0","7","2","0","2","665","false"
"L34513","3","0","30","3","0","2","5350","false"
"L34514","3","0","44","3","0","2","5350","false"
"L34515","6","0","69","18","0","6","5350","false"
"L34516","5","0","66","21","0","3","5350","false"
"L34517","3","0","34","10","0","2","5350","false"
"L34518","6","0","47","6","0","2","5350","false"
"L34519","3","0","37","10","0","2","5350","false"
"L34520","3","0","34","5","0","2","5350","false"
"L34521","4","0","40","18","0","4","5350","false"
"L34522","17","0","117","16","0","6","5350","false"
"L34523","1","0","18","16","0","5","5350","false"
"L34524","9","0","85","44","0","6","5350","false"
"L34525","5","0","57","8","0","3","5350","false"
"L34526","1","0","16","13","0","2","5350","false"
"L34527","2","0","32","20","0","4","5350","false"
"L34528","1","0","32","14","0","4","62","false"
"L34529","1","0","31","2","0","2","665","false"
"L34530","2","0","31","4","0","2","5350","false"
"L34531","6","0","58","3","0","2","665","false"
"L34532","5","0","65","21","0","4","665","false"
"L34533","28","0","143","30","0","5","5350","false"
"L34534","1","0","38","7","0","3","665","false"
"L82468","5","0","57","8","0","5","2319","false"
"L82703","1","0","24","4","0","2","224","false"
"L82704","1","0","5","5","0","4","5350","false"
"L82705","1","0","40","12","0","3","5350","false"
"L82706","1","0","7","2","0","1","533","false"
"L82750","1","0","8","4","0","4","505","false"
"L82751","1","0","9","3","0","1","533","false"
"L82752","3","0","41","11","0","6","5350","false"
"L82753","1","0","8","6","0","3","310","false"
"L82754","2","0","26","14","1","9","292","false"
"L82755","1","0","8","3","0","3","310","false"
"L82756","1","0","8","6","0","4","310","false"
"L82757","1","0","8","3","0","3","310","false"
"L82758","2","0","26","10","0","5","310","false"
"L82759","1","0","8","2","0","2","5350","false"
"L82760","1","0","8","4","0","3","310","false"
"L82761","1","0","8","2","0","2","1296","false"
"L82762","1","0","8","4","0","2","310","false"
"L82763","10","0","312","46","0","16","101","false"
"L82764","1","0","16","9","0","6","505","false"
"L82765","1","0","8","5","0","3","505","false"
"L82766","1","0","8","2","0","2","5350","false"
"L83490","1","0","6","4","0","3","143","false"
"L83497","5","0","60","14","0","8","815","false"
"L83498","3","0","49","3","0","2","1636","false"
"L83499","1","0","117","29","0","7","1636","false"
"L83500","5","0","25","3","0","2","533","false"
"L83501","5","0","53","7","0","3","2319","false"
"L83502","11","0","57","12","0","6","665","false"
"L83503","1","0","57","27","0","10","5350","false"
"L83504","1","0","81","43","0","14","828","false"
"L83505","1","0","13","19","0","7","67","false"
"L83506","1","0","7","2","0","2","828","false"
"L83507","33","0","183","18","0","9","665","false"
"L83508","8","0","73","7","0","5","412","false"
"L83509","1","0","8","2","0","2","310","false"
"L83510","14","0","186","11","0","3","665","false"
"L83511","1","0","12","7","0","2","5350","false"
"L83512","13","0","182","38","0","14","665","false"
"L84838","1","0","28","8","0","6","1296","false"
"L84839","1","0","25","17","0","4","665","false"
"L84840","9","0","79","7","0","5","5350","false"
"L85079","1","0","58","4","0","2","815","false"
"L85080","8","0","69","21","0","7","5350","false"
"L85081","4","0","37","21","0","6","5350","false"
"L85082","1","0","34","17","0","6","5350","false"
"L85083","1","0","26","17","0","5","5350","false"
"L85084","15","0","98","17","0","6","5350","false"
"L85085","7","0","58","21","0","6","5350","false"
"L85086","25","0","152","15","0","7","5350","false"
"L85087","1","0","34","17","0","6","5350","false"
"L85088","1","0","26","16","0","5","5350","false"
"L85089","1","0","34","17","0","6","5350","false"
"L85090","14","0","89","4","0","2","815","false"
"L85091","6","0","50","4","0","2","815","false"
"L85092","1","0","26","18","0","5","5350","false"
"L85093","1","0","34","17","0","6","5350","false"
"L85094","14","0","89","4","0","2","815","false"
"L85095","6","0","50","4","0","2","815","false"
"L85096","1","0","26","16","0","5","5350","false"
"L85097","11","0","252","14","0","5","5350","false"
"L85098","5","0","63","14","0","6","5350","false"
"L85099","1","0","19","11","0","6","815","false"
"L85100","1","0","34","17","0","6","5350","false"
"L85101","1","0","26","8","0","3","5350","false"
"L85102","4","0","65","17","0","4","815","false"
"L85103","1","0","125","24","0","8","815","false"
"L85104","31","0","143","7","0","3","5350","false"
"L85105","1","0","21","9","0","6","815","false"
"L85106","1","0","34","17","0","6","5350","false"
"L85107","1","0","26","16","0","5","5350","false"
"L85108","11","0","85","17","0","6","5350","false"
"L85109","7","0","62","14","0","5","5350","false"
"L86411","1","0","14","2","0","2","199","false"
"L86412","1","0","55","4","0","3","5350","false"
"L86413","5","0","103","2","0","2","199","false"
"L86414","1","0","37","2","0","2","199","false"
"L86415","1","0","7","2","0","2","199","false"
"L86416","1","0","112","2","0","2","199","false"
"L86417","1","0","7","2","0","2","199","false"
"L91406","14","0","151","22","0","9","665","false"
"L91407","25","0","180","9","0","5","7","false"
"L91408","6","0","56","23","0","11","2472","false"
"L91409","1","0","12","12","0","5","7","false"
"L91410","2","0","30","16","0","7","2472","false"
"L91702","9","0","81","2","0","2","199","false"
"L91703","37","0","280","20","0","8","815","false"
"L91704","1","0","14","15","1","5","5350","false"
"L91705","12","0","345","48","0","15","828","false"
"L91706","1","0","54","18","0","4","20","false"
"L91707","24","0","287","24","0","5","665","false"
"L91708","1","0","40","22","0","8","815","false"
"L91709","5","0","69","11","0","4","815","false"
"L91710","16","0","188","23","0","9","199","false"
"L91711","1","0","5","2","0","2","5350","false"
"L91712","1","0","315","21","0","11","828","false"
"L91713","5","0","53","17","0","7","1636","false"
"L91714","1","0","52","173","0","15","199","false"
"L91715","3","0","85","13","0","8","412","false"
"L91716","8","0","146","34","0","11","815","false"
"L91717","60","0","785","112","1","13","5350","false"
"L91718","6","0","173","37","0","10","2319","false"
"L91719","12","0","160","29","0","7","1296","false"
"L91720","1","0","21","3","0","2","1296","false"
"L91721","1","0","7","3","0","2","1296","false"
"L91722","20","0","138","2","0","1","2319","false"
"L91723","3","0","309","62","0","15","412","false"
"L91724","5","0","91","9","2","5","5350","false"
"L91725","5","0","49","4","0","3","2319","false"
"L91726","11","0","829","75","0","15","828","false"
"L91727","1","0","7","4","1","1","101","false"
"L91728","1","0","15","7","1","4","5350","false"
"L91729","5","0","63","8","0","1","5350","false"
"L91730","5","0","70","6","0","2","1296","false"
"L91731","1","0","26","10","0","6","505","false"
"L91732","1","0","5","8","0","3","5350","false"
"L91733","1","0","7","7","0","3","412","false"
"L91734","1","0","26","13","0","8","412","false"
"L91735","1","0","6","3","0","2","2319","false"
"L91736","106","0","1322","168","2","20","828","false"
"L91737","3","0","133","11","0","9","828","false"
"L91738","1","0","41","3","0","3","1296","false"
"L91739","1","0","10","13","1","5","5350","false"
"L91740","1","0","25","3","0","3","505","false"
"L91741","9","0","86","8","0","6","199","false"
"L91742","4","0","97","51","1","8","5350","false"
"L91743","4","0","89","64","0","12","5350","false"
"L91744","1","0","7","5","0","2","2472","false"
"L104791","3","0","85","8","0","4","5350","false"
"L104792","2","0","92","31","0","8","5350","false"
"L104793","1","0","25","33","0","14","5350","false"
"L104794","1","0","37","22","0","9","5350","false"
"L104795","24","0","193","11","0","5","2319","false"
"L104796","1","0","7","6","0","5","5350","false"
"L104797","2","0","24","7","0","5","1634","false"
"L104798","13","0","126","25","0","13","2319","false"
"L104799","5","0","50","21","0","9","665","false"
"L104800","1","0","44","26","0","10","665","false"
"L104801","1","0","64","31","0","12","5350","false"
"L104802","1","0","26","18","0","8","5350","false"
"L104803","12","0","149","38","0","11","5350","false"
"L104804","1","0","13","12","0","3","5350","false"
"L104805","1","0","13","12","0","3","5350","false"
"L104806","1","0","5","6","0","5","5350","false"
"L104807","20","0","73","12","0","3","5350","false"
"L104808","1","0","26","18","0","8","5350","false"
"L104809","1","0","9","29","0","12","5350","false"
"L104810","1","0","25","16","0","6","5350","false"
"L104811","1","0","26","18","0","8","5350","false"
"L104812","4","0","82","41","0","13","5350","false"
"L104813","1","0","26","20","0","9","5350","false"
"L104814","1","0","9","29","0","12","5350","false"
"L104815","1","0","30","14","0","4","5350","false"
"L106660","23","0","212","55","0","13","5350","false"
"L106661","1","0","21","30","0","8","5350","false"
"L106662","1","0","13","15","0","6","5350","false"
"L106663","5","0","65","22","0","8","5350","false"
"L106664","1","0","22","15","0","7","412","false"
"L106665","1","0","21","15","0","7","412","false"
"L106666","1","0","22","24","0","11","412","false"
"L106667","28","0","233","24","0","5","5350","false"
"L106668","4","0","78","19","0","5","5350","false"
"L106669","1","0","9","8","0","3","5350","false"
"L106670","1","0","6","9","0","1","5350","false"
"L106671","1","0","5","27","0","9","505","false"
"L106672","22","0","242","64","0","13","5350","false"
"L106673","1","0","35","16","0","7","412","false"
"L106674","3","0","29","11","0","4","5350","false"
"L106675","1","0","26","9","0","4","2319","false"
"L106676","1","0","13","7","0","5","505","false"
"L106677","1","0","5","2","0","2","2319","false"
"L106678","74","0","621","179","1","22","5350","false"
"L106679","2","0","94","245","1","23","5350","false"
"L106680","58","0","658","149","0","23","815","false"
"L106681","1","0","9","4","0","3","5350","false"
"L106682","4","0","76","105","0","17","5350","false"
"L106683","1","0","13","8","0","6","505","false"
"L106684","1","0","11","2","0","2","5350","false"
"L106685","3","0","50","4","0","4","815","false"
"L106686","3","0","60","74","0","15","5350","false"
"L106687","14","0","127","25","0","8","5350","false"
"L106688","6","0","110","21","0","7","665","false"
"L106689","1","0","48","18","0","3","5350","false"
"L106690","34","0","340","85","0","20","5350","false"
"L106691","1","0","9","6","0","3","5350","false"
"L106692","1","0","13","7","0","5","505","false"
"L106693","1","0","48","20","0","3","5350","false"
"L106694","1","0","5","3","0","3","505","false"
"L106695","1","0","14","3","0","3","505","false"
"L106696","7","0","79","26","0","10","412","false"
"L106697","2","0","38","2","0","2","1636","false"
"L106698","1","0","7","7","0","4","5350","false"
"L106699","10","0","126","25","0","9","2319","false"
"L106700","1","0","8","2","0","1","533","false"
"L110341","8","0","221","5","0","3","1296","false"
"L110342","16","0","186","23","0","7","412","false"
"L110343","1","0","10","2","0","1","815","false"
"L110344","3","0","46","8","0","4","412","false"
"L110345","26","0","457","30","0","8","1296","false"
"L110346","2","0","68","4","0","3","815","false"
"L110347","6","0","107","7","0","4","412","false"
"L110348","2","0","118","4","0","3","815","false"
"L110349","5","0","61","6","0","4","412","false"
"L110350","21","0","377","19","0","8","2319","false"
"L111481","19","0","280","29","0","8","1296","false"
"L111482","30","0","281","6","0","3","5350","false"
"L111483","13","0","131","24","0","7","505","false"
"L111484","3","0","48","6","0","3","1296","false"
"L111485","23","0","201","48","0","12","101","false"
"L111486","24","0","237","19","0","8","1296","false"
"L112137","4","0","102","3","0","3","533","false"
"L112138","1","0","8","2","0","2","665","false"
"L112139","1","0","16","4","0","3","665","false"
"L112140","1","0","10","2","0","2","310","false"
"L112141","2","0","19","2","0","2","310","false"
"L112142","1","0","22","4","0","3","665","false"
"L112143","1","0","41","10","0","7","5350","false"
"L112144","1","0","25","12","0","9","505","false"
"L112145","1","0","22","2","0","1","5350","false"
"L112146","2","0","31","6","0","4","20","false"
"L112147","1","0","51","9","0","7","5350","false"
"L112148","11","0","119","3","0","3","533","false"
"L112149","1","0","67","4","0","3","1636","false"
"L113848","4","0","79","11","0","5","5350","false"
"L113849","1","0","16","3","0","2","665","false"
"L113850","1","0","27","26","1","8","1296","false"
"L113905","1","0","31","4","0","3","1636","false"
"L113906","4","0","47","4","0","3","1636","false"
"L113907","1","0","10","4","0","3","1636","false"
"L113908","1","0","15","2","0","2","2472","false"
"L113909","1","0","7","2","0","2","1636","false"
"L113910","1","0","36","2","0","2","1636","false"
"L114184","4","0","59","40","0","12","665","false"
"L114291","53","0","506","20","0","10","2319","false"
"L114292","1","0","45","6","0","4","665","false"
"L114293","4","0","60","12","0","7","2319","false"
"L114294","58","0","624","43","0","11","665","false"
"L114295","1","0","64","24","0","6","5350","false"
"L114296","1","0","8","2","0","1","5350","false"
"L114297","1","0","102","2","0","1","5350","false"
"L114298","37","0","294","20","0","8","665","false"
"L114299","22","0","240","13","1","5","665","false"
"L114300","17","0","188","6","0","4","665","false"
"L114301","1","0","5","2","0","1","5350","false"
"L114302","14","0","164","11","0","4","5350","false"
"L114303","1","0","8","2","0","1","5350","false"
"L114304","1","0","40","4","0","3","665","false"
"L114305","3","0","38","2","0","1","5350","false"
"L114306","10","0","137","14","0","5","815","false"
"L114307","1","0","16","2","0","1","5350","false"
"L114308","1","0","16","2","0","1","5350","false"
"L114309","7","0","59","2","0","1","5350","false"
"L114310","1","0","60","9","0","4","665","false"
"L114311","138","0","665","2","0","1","5350","false"
"L114312","1","0","20","2","0","1","5350","false"
"L114313","3","0","29","2","0","1","5350","false"
"L114314","44","0","758","54","1","12","2319","false"
"L114315","1","0","12","4","0","1","5350","false"
"L114316","5","0","44","10","0","4","2319","false"
"L114317","33","0","369","21","0","8","815","false"
"L114318","2","0","16","2","0","1","5350","false"
"L114319","1","0","62","9","0","4","665","false"
"L114320","60","0","585","29","0","9","815","false"
"L114321","22","0","335","5","0","3","4","true"
"L114322","7","0","160","6","0","4","412","false"
"L114323","23","0","229","11","0","7","815","false"
"L114324","26","0","269","15","0","8","815","false"
"L114325","1","0","60","8","0","4","665","false"
"L114326","1","0","7","2","0","1","5350","false"
"L114327","14","0","218","7","0","3","412","false"
"L114328","1","0","79","4","0","3","665","false"
"L114329","87","0","714","2","0","1","5350","false"
"L114330","1","0","8","2","0","1","5350","false"
"L114331","4","0","213","20","0","8","2319","false"
"L114332","16","0","503","38","1","8","2319","false"
"L114333","1","0","16","5","0","2","1296","false"
"L114334","8","0","122","2","0","1","5350","false"
"L114335","3","0","39","2","0","1","5350","false"
"L114336","1","0","8","2","0","1","5350","false"
"L114337","1","0","31","4","0","1","5350","false"
"L114338","29","0","290","16","0","7","665","false"
"L114339","1","0","16","2","0","1","5350","false"
"L114340","6","0","92","2","0","1","5350","false"
"L125480","2","0","19","13","0","8","1636","false"
"L125481","3","0","53","16","0","8","5350","false"
"L125482","7","0","74","7","0","3","5350","false"
"L125483","2","0","33","52","0","10","5350","false"
"L125484","11","0","123","5","0","3","1296","false"
"L125485","7","0","246","48","0","10","412","false"
"L125486","1","0","21","3","0","2","1296","false"
"L125487","1","0","44","18","0","8","665","false"
"L125488","5","0","89","108","0","17","5350","false"
"L125489","29","0","632","222","0","20","2319","false"
"L125490","1","0","33","2","0","2","59","false"
"L125491","26","0","323","105","0","17","2319","false"
"L125492","9","0","105","14","0","7","1296","false"
"L125493","10","0","81","55","0","15","1296","false"
"L125494","1","0","12","8","0","5","1296","false"
"L125495","1","0","16","14","0","9","815","false"
"L125496","1","0","8","4","0","3","815","false"
"L125497","1","0","9","6","0","4","5350","false"
"L127927","1","0","8","11","0","4","5350","false"
"L127928","7","0","76","6","0","5","67","false"
"L127929","1","0","20","3","0","3","5350","false"
"L127930","1","0","12","4","0","2","5350","false"
"L127931","1","0","9","2","0","1","5350","false"
"L127932","1","0","13","4","0","2","5350","false"
"L127933","2","0","59","2","0","1","5350","false"
"L127934","1","0","33","4","0","3","815","false"
"L127935","1","0","4","3","0","3","5350","false"
"L127936","2","0","53","2","0","1","5350","false"
"L127937","1","0","7","2","0","1","5350","false"
"L127938","1","0","17","4","0","3","199","false"
"L135933","1","0","39","6","0","4","665","false"
"L135934","4","0","162","10","1","4","5350","false"
"L135935","2","0","133","12","0","6","412","false"
"L135936","12","0","164","23","1","10","5350","false"
"L135937","1","0","12","5","0","4","5350","false"
"L135938","1","0","4","5","0","4","5350","false"
"L135939","4","0","112","2","0","2","665","false"
"L135940","12","0","218","13","0","6","412","false"
"L135941","4","0","68","5","0","3","5350","false"
"L135942","6","0","43","5","0","4","5350","false"
"L135943","13","0","227","5","0","4","2319","false"
"L135944","4","0","84","7","0","4","665","false"
"L135945","3","0","36","10","0","5","5350","false"
"L135946","20","0","321","19","0","10","5350","false"
"L135947","1","0","55","5","0","4","828","false"
"L135948","1","0","7","9","1","5","5350","false"
"L137486","1","0","7","3","0","1","5350","false"
"L137487","50","0","393","20","0","11","2319","false"
"L137488","8","0","84","10","0","6","2319","false"
"L137489","20","0","298","39","0","13","1296","false"
"L137490","9","0","101","15","0","5","665","false"
"L137491","9","0","137","13","0","4","412","false"
"L137492","1","0","6","1","0","1","236","false"
"L137493","5","0","32","2","0","1","412","false"
"L137494","1","0","6","3","0","3","412","false"
"L137495","6","0","136","9","0","2","665","false"
"L137496","1","0","188","2","0","2","2472","false"
"L137497","6","0","116","8","0","5","815","false"
"L137498","33","0","302","18","0","6","412","false"
"L137499","7","0","102","10","0","4","5350","false"
"L137500","1","0","6","7","0","4","815","false"
"L137501","7","0","85","8","1","4","1296","false"
"L137502","7","0","85","10","1","4","5350","false"
"L137503","14","0","203","98","1","19","5350","false"
"L137504","2","0","39","4","0","3","665","false"
"L137505","10","0","91","7","0","4","101","false"
"L137507","4","0","17","2","0","1","815","false"
"L137508","20","0","225","28","0","8","505","false"
"L137509","1","0","24","29","0","9","2319","false"
"L137510","3","0","31","8","0","5","412","false"
"L137511","1","0","5","2","0","1","5350","false"
"L137512","3","0","42","4","0","2","5350","false"
"L137513","8","0","99","38","0","9","505","false"
"L137514","9","0","58","3","0","2","665","false"
"L137515","1","0","9","5","0","3","815","false"
"L137516","1","0","6","3","0","2","5350","false"
"L137517","1","0","16","7","0","3","412","false"
"L137518","1","0","14","9","0","1","5350","false"
"L137519","61","0","814","84","0","12","5350","false"
"L137520","2","0","54","27","0","8","5350","false"
"L137521","1","0","10","12","0","5","5350","false"
"L137522","1","0","32","4","0","3","815","false"
"L137523","11","0","114","5","0","3","815","false"
"L137524","7","0","56","4","0","1","5350","false"
"L137525","1","0","61","3","0","3","2319","false"
"L137526","1","0","49","4","0","3","665","false"
"L137527","29","0","634","97","0","20","2319","false"
"L137529","1","0","8","4","0","2","1296","false"
"L137530","1","0","5","2","0","1","5350","false"
"L137531","12","0","113","13","0","2","665","false"
"L137532","47","0","452","2","0","2","5350","false"
"L145092","1","0","22","2","0","2","1636","false"
"L145093","1","0","9","4","0","4","5350","false"
"L145094","6","0","46","4","0","3","665","false"
"L35070","1","0","39","12","0","3","815","false"
"L35071","5","0","59","7","0","1","5350","false"
"L35072","3","0","41","6","0","1","5350","false"
"L35073","3","0","41","27","0","6","5350","false"
"L35074","4","0","32","19","0","3","5350","false"
"L35075","3","0","36","4","0","1","5350","false"
"L35076","3","0","36","4","0","1","5350","false"
"L35077","1","0","16","4","0","1","5350","false"
"L35078","1","0","29","2","0","1","5350","false"
"L35079","2","0","50","10","0","1","5350","false"
"L35080","2","0","50","18","0","2","5350","false"
"L35081","1","0","18","10","0","3","5350","false"
"L35082","1","0","37","3","0","2","1296","false"
"L35083","1","0","8","14","0","2","5350","false"
"L35084","1","0","8","15","0","2","5350","false"
"L35085","10","0","89","5","0","2","5350","false"
"L35086","1","0","10","7","0","3","67","false"
"L35087","1","0","30","5","0","2","5350","false"
"L35088","10","0","125","17","0","5","5350","false"
"L35089","23","0","308","10","0","2","5350","false"
"L35090","1","0","10","14","0","2","5350","false"
"L35091","5","0","147","7","0","2","5350","false"
"L35092","4","0","54","13","0","2","5350","false"
"L35093","4","0","54","24","0","3","5350","false"
"L35094","7","0","62","10","0","3","5350","false"
"L37605","25","0","204","22","0","6","5350","false"
"L37606","1","0","6","4","0","1","5350","false"
"L37607","1","0","10","8","0","2","5350","false"
"L37608","1","0","16","4","0","1","5350","false"
"L37961","6","0","79","5","0","2","5350","false"
"L37962","1","0","11","6","0","2","5350","false"
"L37963","3","0","34","6","0","2","5350","false"
"L37964","1","0","8","2","0","2","101","false"
"L37965","1","0","22","2","0","1","5350","false"
"L37966","2","0","48","16","0","3","5350","false"
"L37967","5","0","35","9","0","2","5350","false"
"L37968","1","0","8","4","0","2","101","false"
"L37969","1","0","15","14","0","4","5350","false"
"L37970","2","0","120","10","0","4","412","false"
"L37971","15","0","141","21","0","3","59","false"
"L37972","8","0","112","3","0","1","5350","false"
"L37973","9","0","68","6","0","1","5350","false"
"L37974","14","0","147","3","0","1","5350","false"
"L37975","1","0","12","2","0","1","5350","false"
"L37976","4","0","65","19","0","3","59","false"
"L37977","4","0","47","3","0","1","5350","false"
"L37978","14","0","75","3","0","1","5350","false"
"L37979","2","0","98","21","0","4","5350","false"
"L37980","5","0","51","3","0","1","5350","false"
"L37981","10","0","42","3","0","1","5350","false"
"L37982","1","0","68","29","0","6","5350","false"
"L37983","1","0","15","2","0","1","5350","false"
"L37984","1","0","7","3","0","1","5350","false"
"L37985","1","0","32","2","0","2","59","false"
"L37986","1","0","8","2","0","1","5350","false"
"L37987","4","0","45","2","0","1","5350","false"
"L37988","6","0","218","3","0","1","5350","false"
"L41574","15","0","214","46","0","8","665","false"
"L41575","1","0","5","4","0","1","5350","false"
"L41576","5","0","71","23","0","8","62","false"
"L41577","3","0","54","23","0","8","62","false"
"L41578","1","0","76","4","0","1","5350","false"
"L41579","8","0","66","29","0","8","62","false"
"L41580","19","0","132","19","0","7","62","false"
"L41581","1","0","42","22","0","8","62","false"
"L41582","1","0","42","8","0","4","62","false"
"L41583","8","0","76","4","0","3","815","false"
"L41584","3","0","46","5","0","2","5350","false"
"L41585","2","0","35","9","0","3","5350","false"
"L41586","5","0","41","19","0","4","5350","false"
"L41587","3","0","58","24","0","4","5350","false"
"L41588","9","0","77","5","0","4","62","false"
"L41589","1","0","1","2","0","2","815","false"
"L41590","8","0","185","19","0","5","665","false"
"L41591","3","0","47","24","0","4","5350","false"
"L41592","2","0","31","4","0","2","665","false"
"L41593","23","0","167","19","0","6","62","false"
"L41594","7","0","77","33","0","6","665","false"
"L41595","1","0","5","3","0","2","1296","false"
"L41596","12","0","134","36","0","7","5350","false"
"L41597","1","0","18","19","0","5","665","false"
"L42820","1","0","7","2","0","1","5350","false"
"L42821","6","0","47","5","0","2","5350","false"
"L42822","1","0","7","3","0","2","1296","false"
"L42823","1","0","29","12","0","4","67","false"
"L42824","1","0","18","8","0","3","665","false"
"L42825","1","0","6","5","0","2","5350","false"
"L42826","1","0","37","5","0","2","5350","false"
"L42827","1","0","6","3","0","2","1296","false"
"L42828","15","0","91","6","0","2","5350","false"
"L42959","1","0","41","3","0","2","1296","false"
"L42960","2","0","102","11","0","4","5350","false"
"L42961","2","0","21","5","0","2","5350","false"
"L42962","4","0","188","58","0","9","665","false"
"L42963","19","0","527","53","0","9","5350","false"
"L42964","1","0","11","3","0","2","1296","false"
"L42965","1","0","113","11","0","3","665","false"
"L42966","12","0","159","20","0","6","815","false"
"L35462","1","0","7","8","0","2","815","false"
"L35463","3","0","52","10","0","2","815","false"
"L35464","1","0","16","30","0","5","412","false"
"L35465","1","0","59","42","0","5","5350","false"
"L38091","1","0","54","14","0","4","5350","false"
"L38092","6","0","153","43","0","6","5350","false"
"L38093","1","0","9","2","0","1","5350","false"
"L38094","39","0","378","54","0","11","5350","false"
"L38095","1","0","7","6","0","1","5350","false"
"L38096","1","0","8","4","0","1","5350","false"
"L38097","5","0","58","8","0","3","59","false"
"L38098","19","0","122","16","0","2","5350","false"
"L38099","1","0","78","14","0","3","815","false"
"L38100","9","0","61","9","0","2","5350","false"
"L38101","16","0","154","32","0","6","5350","false"
"L38102","2","0","70","15","0","4","5350","false"
"L38103","11","0","101","6","0","2","5350","false"
"L38104","4","0","61","6","0","2","5350","false"
"L38105","1","0","12","4","0","1","5350","false"
"L43739","1","0","21","4","0","2","815","false"
"L43740","2","0","50","13","0","5","199","false"
"L43741","4","0","76","44","0","5","5350","false"
"L43742","1","0","18","6","0","1","5350","false"
"L43743","1","0","12","8","0","5","665","false"
"L43744","1","0","23","17","0","5","5350","false"
"L43745","3","0","50","24","0","5","5350","false"
"L35575","1","0","10","3","0","1","5350","false"
"L35576","1","0","5","6","0","2","505","false"
"L35577","73","0","573","63","0","7","665","false"
"L35578","2","0","36","6","0","2","101","false"
"L35579","1","0","24","10","0","3","1296","false"
"L35580","30","0","296","26","0","3","505","false"
"L35581","5","0","99","6","0","1","5350","false"
"L35582","1","0","36","2","0","1","5350","false"
"L35583","5","0","40","3","0","1","5350","false"
"L35584","3","0","31","3","0","1","5350","false"
"L35585","19","0","130","12","0","2","5350","false"
"L35586","6","0","93","3","0","2","505","false"
"L82798","1","0","8","1","0","1","828","false"
"L82799","1","0","14","5","0","4","310","false"
"L82800","1","0","10","4","0","2","310","false"
"L82801","1","0","21","7","0","2","5350","false"
"L82802","1","0","14","3","0","3","310","false"
"L82803","1","0","20","8","0","5","310","false"
"L82804","1","0","8","1","0","1","828","false"
"L82891","1","0","10","4","0","3","505","false"
"L82947","1","0","25","9","0","6","310","false"
"L82948","3","0","39","12","0","8","199","false"
"L82949","3","0","38","13","0","7","199","false"
"L82950","1","0","14","3","0","2","310","false"
"L82951","6","0","69","4","0","2","310","false"
"L82952","1","0","8","4","0","4","505","false"
"L82953","2","0","30","6","0","4","310","false"
"L82954","2","0","29","4","0","3","310","false"
"L82955","1","0","22","7","0","5","310","false"
"L82956","2","0","11","3","0","3","310","false"
"L82957","1","0","20","6","0","4","310","false"
"L82958","1","0","10","4","0","3","310","false"
"L82959","1","0","17","4","0","4","310","false"
"L82960","1","0","20","4","0","3","310","false"
"L82961","1","0","20","7","0","5","310","false"
